dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,wrong_k,0.7804735376044569,0.006180078654882864,0.8528913422117197,0.004142893132006657,0.772442183802818,0.016703184338403575,0.7562327880849692,0.0040854493180321316,0.7629928513128394,0.002606557181788606,0.9864306784660768,0.0014451266919074458,0.0028503562945368173,0.0023273061689151335,0.8133616685196439,0.00816695152243073,0.8150006846428142,0.008786260182626049,0.6606162007760604,0.0006751090634870155,10.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,wrong_k,0.8494707520891366,0.0058551505529944245,0.8986176562548275,0.004376278990900359,0.8494192005496265,0.006314200194736007,0.7947958340719952,0.0047159670196015874,0.8098107648078383,0.007835825088940741,0.9486725663716815,0.02609244175515752,0.0,0.0,0.9074750148520166,0.006945362078892288,0.8726249826728296,0.012040402190389697,0.6493322968986686,0.0087677735031438,10.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,wrong_k,0.8235654596100279,0.0023094593123313568,0.8885691001280799,0.0020221132468850786,0.8284007740047393,0.0033661098534197484,0.7802947725747785,0.0011189172171351895,0.793385488049405,0.0015288182991408713,0.9893805309734512,0.0023598820058996993,0.0,0.0,0.8791961499819921,0.005557470865570724,0.8381713083462439,0.002375734722490266,0.6627890058199793,0.0008597466181660407,10.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,wrong_k,0.8016369482607424,0.00244286260342311,0.6915416774669818,0.0029393455124684304,0.6860401491668052,0.004609963672458181,0.7992529753016374,0.0020498527012344737,0.7966404826391367,0.0016242815199629624,0.9119341563786006,0.0041967238795002455,0.573943661971831,0.009448174552816,0.8049748832132252,0.0037687216075480237,0.743563761534338,0.0030994104426336185,0.863753963435202,0.006691567564234078,9.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,wrong_k,0.512890967553347,0.09809234039223415,0.5257705332776232,0.06667544706299619,0.28405042336716596,0.11048719481016549,0.44464152443159916,0.11736751170426113,0.47293995911458825,0.1085437994587422,0.5415637860082304,0.44365575502384075,0.033506044905008636,0.06701208981001727,0.47794796590133376,0.13743374387191673,0.5491520838331854,0.06999842887618068,0.3511097618565742,0.2906322839305486,6.6,1.3564659966250536,1.0,0.0
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,wrong_k,0.845893013738673,0.005891087875433219,0.7606713215116048,0.006175223736563995,0.7306473424341748,0.009279652873737644,0.8274324869784866,0.008341028559157198,0.816107896864421,0.010359747510650526,0.9522633744855966,0.005582164595164804,0.47253521126760567,0.02453697378899205,0.8803913020234264,0.012787377298148323,0.713447975715459,0.012478526281123663,0.8736726708493556,0.04667781171452901,9.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,wrong_k,0.5086961412982337,0.008720244881673247,0.5781773979432601,0.005267528639001943,0.41391086238304775,0.003440151257309449,0.5421506979694314,0.023250634392836183,0.5454817555105518,0.023910749316617675,0.11556122448979593,0.0006248698323426482,0.105850123488886,0.019175586201502264,0.5706090489693557,0.006410011940827893,0.562743406956314,0.01704521123504326,0.48896316230446357,0.10081465554950554,12.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,wrong_k,0.5403644954438069,0.009057680902007861,0.6279854250477317,0.007509913970089376,0.4570159425884029,0.004903168840332697,0.5721913465781083,0.01159996107586021,0.57042519102696,0.008263401007571215,0.10969387755102042,0.011493755434764094,0.10969387755102042,0.011493755434764094,0.6067782655836018,0.010283144585489803,0.5640399935860905,0.02116264505518881,0.5304680215392636,0.01440787313065589,12.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,wrong_k,0.5369445381932726,0.001786355815011102,0.6249672614616684,0.0019175840702005118,0.45417869557030494,0.0018964240603183019,0.5764361996553278,0.0014485287975090357,0.5823722267016813,0.0010538863873167565,0.23698979591836739,0.24375050059218772,0.11176396788223486,0.006719838766892658,0.5915256234985963,0.0030475755985602784,0.5905196291114502,0.0018060549875817,0.5593044944261027,0.0019516280496412795,12.0,0.0,0.0,0.0
