dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,weak_anchor,0.8464902506963788,0.0017888127418386785,0.8738243495043744,0.00034906587899678407,0.8372435487142017,0.0005067335881983623,0.7921460196036356,0.0014558067928714569,0.8050812020563459,0.0017685026488848635,0.9858407079646018,0.0011799410029498247,0.0,0.0,0.9348121677798499,0.0005406866720734982,0.8207367879865728,0.005306889517839454,0.659694650402615,0.0003933136676499416,9.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,weak_anchor,0.8488857938718664,0.04305473274288265,0.892602006977959,0.028689904948845622,0.846791336722502,0.04447889218701759,0.7626248978310204,0.07310259232050145,0.783715497232215,0.06795920314077934,0.5787610619469026,0.47255642825374583,0.0,0.0,0.9259566720118642,0.03768251997743009,0.8990487449817592,0.04522296807820156,0.5261410747030216,0.157656831685201,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,weak_anchor,0.4344289693593314,0.0029850536656532253,0.18533857519045843,0.0013437221662568812,0.16984565562029622,0.004330365515139088,0.40407946408011075,0.001438405776137322,0.41658999114099854,0.0023766718971161426,0.5109144542772862,0.026344676769045554,0.053681710213776726,0.0035550188947970933,0.4746616167438086,0.01027271951322766,0.4220447703173014,0.00717042168121175,0.3530635863618858,0.011787445466655139,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,weak_anchor,0.7527038877521192,0.0025948367168865216,0.6466020957874209,0.00240891787116335,0.645878394007277,0.003942814001100915,0.6922264460632295,0.002586422307844343,0.7016124258442483,0.0019703118098949074,0.9020576131687242,0.007543334477293529,0.0721311475409836,0.009558937532533276,0.7961573071676699,0.005357426207017353,0.7500795748470894,0.0021057890074935273,0.4870943803548539,0.006670059624889105,8.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,weak_anchor,0.4774042677579655,0.07599676195257414,0.5011803794688102,0.07296168329215486,0.25051639085449917,0.10534914141027887,0.4065096083694592,0.09037179741831576,0.44414098560178183,0.09444125608193214,0.37448559670781895,0.4587988311053822,0.007599309153713299,0.015198618307426599,0.4294974328653085,0.11545993612220048,0.554093712350498,0.07461096845593754,0.3011772245834176,0.3535371209961689,6.8,1.6,0.4,0.48989794855663565
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,weak_anchor,0.3961999415375621,0.0030635656256238217,0.13293710764068215,0.0013940338203397807,0.12562085938372491,0.001649803071121004,0.3674889710126761,0.003519747153791306,0.3732736715005907,0.00367112528097297,0.4526748971193415,0.029330913055482244,0.1040983606557377,0.006659047872652428,0.41749803809389296,0.0060630702663799895,0.3923073333159891,0.02035992179925956,0.2783866288875396,0.012597563969522624,8.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,weak_anchor,0.4606142423219709,0.0003528942995018113,0.5457835802637565,0.00012952475866570212,0.3816700054479064,0.00018496312841905532,0.4250381352765902,0.00028530281162683256,0.4288695949877056,0.00031783804893336244,0.11505102040816326,0.0005102040816326536,0.005095541401273885,0.0,0.44804576311509414,0.0007328414569911984,0.531636851501196,0.0006077516790771331,0.2662783621332004,0.0003382059002667859,11.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,weak_anchor,0.49746878164022945,0.010193576979327379,0.5950570143936218,0.006266569228017541,0.42639764178575834,0.005359652678833784,0.4529655649698438,0.00790287771238116,0.45565565010065734,0.00705419619510982,0.22780612244897963,0.25314632991253944,0.0,0.0,0.4950567168909705,0.01539641693130303,0.5505403766544245,0.013218697645050802,0.2766079256418835,0.006661412662933111,11.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,weak_anchor,0.2592305096186297,0.0017491993903095333,0.11209209129157613,0.0020958641616640387,0.07862340992763076,0.0014841834186705737,0.24043967019630336,0.0019464646036655242,0.24470723508015838,0.0020182901765292364,0.10943877551020406,0.0041449175533856955,0.050955414012738856,0.007893978794817668,0.2542303219845138,0.0020680068910100603,0.2888934545957282,0.005526302240000717,0.17309482652025798,0.0033522681593829767,11.0,0.0,0.0,0.0
