dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,noisy_encoder,0.8263509749303621,0.04228669147110045,0.8598463045565005,0.022083645920689503,0.8149417873918287,0.036384460654489297,0.7677593966350653,0.05018979926475127,0.7840650534180945,0.04473417261640752,0.8831858407079647,0.2041297935103245,0.0,0.0,0.8999002760411553,0.05993706603969296,0.8274941985717348,0.006302303634795372,0.6248006856413936,0.06798730793979824,9.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,noisy_encoder,0.8176880222841225,0.04231664443448869,0.8706543049457929,0.02902340644199559,0.8109331804756869,0.05045984625899997,0.7336445379042313,0.06523731586324415,0.7579739775783034,0.059626081268618465,0.568141592920354,0.4463024484746682,0.0,0.0,0.8903221175900218,0.05954791628161772,0.8608859508381039,0.0015057555453757627,0.5227138643067847,0.1487674828248894,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,noisy_encoder,0.7623119777158773,0.004026587409379993,0.8426227202260776,0.002599409755007078,0.7700958801035962,0.003780665091207123,0.6575593346059273,0.0022163794237080926,0.6750618991661639,0.002711936107516018,0.0,0.0,0.0,0.0,0.8410021014463764,0.007971173453955689,0.8515259383944576,0.0014183828175334116,0.33265765765765765,0.0005516868790052078,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,noisy_encoder,0.7531715872551885,0.001531224887893484,0.6474259963230743,0.0030255159566864114,0.6464593527126552,0.0017638966618400806,0.6934950889253996,0.0020362244199482195,0.7015362781167974,0.0017965431386743533,0.9020576131687242,0.021048085353982587,0.09754098360655737,0.007947016159698903,0.799299079869028,0.0026330446288734674,0.7382647961840046,0.004630226777837004,0.49979929838764087,0.00982462860786308,8.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,noisy_encoder,0.44513300204618533,0.08782556580135684,0.47834100886656616,0.056952774690999936,0.23709864894247984,0.07129705359112838,0.3725029018714198,0.11327724640581144,0.41722151400420165,0.09709748853064497,0.548148148148148,0.4445313129554962,0.0058721934369602765,0.011744386873920553,0.3899044221583082,0.08574352191303446,0.5082762433991419,0.08026559131421485,0.3216150576806314,0.2701262410778264,6.2,1.32664991614216,0.8,0.4
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,noisy_encoder,0.7648056123940368,0.003381737471845558,0.650233719407375,0.004404101009503941,0.6296992389488254,0.007563262460071385,0.6836576781663994,0.003546194639225391,0.6974601600408743,0.003957394449840581,0.9440329218106995,0.0061591068095044445,0.020491803278688523,0.0025920308689904746,0.8459993971652002,0.0036685632926874777,0.6923861212473353,0.0077898376315906175,0.48226236254469407,0.0035846720003727484,8.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,noisy_encoder,0.4652941838227022,0.0010625014245127765,0.5466579452868798,0.00033069215772336366,0.38368827958390417,0.0006541036115887468,0.4282193011894503,0.0008025564296522965,0.4326092528728978,0.0008488953492084479,0.11607142857142858,0.0,0.01197452229299363,0.0010191082802547776,0.44943494233875114,0.000674673727551188,0.5383677290908834,0.0016172699485507347,0.2691636986277793,0.0007259797455087829,11.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,noisy_encoder,0.4860614242321971,0.015590064703492657,0.576970537008781,0.00939957672149899,0.41270750507832493,0.012800799960831668,0.43788380408717353,0.012804334736053875,0.44613340952156777,0.013565117353961665,0.10433673469387754,0.014372006143880893,0.00025477707006369424,0.0005095541401273885,0.4741955422633943,0.020908821503498945,0.5473935694729962,0.02122831402721793,0.2737036859305614,0.0008312749783382751,11.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,noisy_encoder,0.48563392957588025,0.0005162692723853613,0.5828365528954055,0.0013977443520110794,0.41258562161886303,0.001167306518190735,0.44576651539914475,0.0003559093499723674,0.45492280349989744,0.0002319740651840997,0.47857142857142854,0.29650100980096944,0.0,0.0,0.4552568372031306,0.0017420064455842244,0.5915226306633456,0.0019494026908040752,0.2723443223443224,0.0016847810419523788,11.0,0.0,0.0,0.0
