dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,distribution_shift,0.6310863509749303,0.04912873630543409,0.7680033942830258,0.0250890794280818,0.607134833315466,0.03611833602544552,0.5970702747742882,0.08034511557472956,0.6098036219576748,0.07822944176477287,0.39646017699115044,0.4819614873947395,0.0,0.0,0.6246335719828795,0.0009037035994886693,0.7434572348930943,0.07369346102153301,0.4613200589970502,0.16037799242034942,9.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,distribution_shift,0.618050139275766,0.03121363504367228,0.7773833482418635,0.012740695222029062,0.6089439624127512,0.03191939148363224,0.5505826470596742,0.0257437539782418,0.5676039556866697,0.022155983274240777,0.0,0.0,0.0,0.0,0.65734733573717,0.05900478371513521,0.7120731530086578,0.011390546953411714,0.3333913783141812,0.0021281801689211816,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,distribution_shift,0.6016155988857939,0.0007188572646553917,0.7873958804667731,0.0021794274489105115,0.6065311160813789,0.0027365545833675543,0.5371092783691817,0.0005460040251458415,0.5547385805105832,0.0005533147104963501,0.0,0.0,0.0,0.0,0.6427014399142829,0.0027899078902310394,0.6893070944102595,0.002210538679893905,0.33220720720720726,0.0005036189138512988,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,distribution_shift,0.39432914352528503,0.0004891318483098962,0.39672593194712347,0.0011574451742226114,0.267181891912035,0.0010743469072903922,0.36340149629115703,0.0011279638429145832,0.3656703571578392,0.0015989928986682566,0.34156378600823045,0.008632171589877799,0.1040983606557377,0.024535458273927484,0.41586724229211275,0.0013233993396362818,0.41069966124080237,0.004242485159887316,0.2228310733319841,0.014003958922552935,8.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,distribution_shift,0.40742472961122483,0.005934441410324239,0.420539403218166,0.008607763642684344,0.24099580243399193,0.005403903388786946,0.37097420762044075,0.00857467574918644,0.3682660647020616,0.004235067190698396,0.37613168724279833,0.19156986371655843,0.02868852459016393,0.020409671472112676,0.46040097989579853,0.01622628333917543,0.35528102367138914,0.017718467559309125,0.24954125345746472,0.019620780974524507,8.0,0.0,0.0,0.0
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,distribution_shift,0.41525869628763523,0.0016285750689487319,0.4450337927525615,0.002937690054670097,0.2882401112647607,0.003273429685474755,0.369646847688902,0.0011107046877000554,0.37895046240496943,0.001404358007021509,0.0074074074074074086,0.0016460905349794238,0.0074074074074074086,0.0016460905349794238,0.45792551220012356,0.00615153751041269,0.38811806048716185,0.0031391758375538216,0.2467364905889496,0.008658564052350276,8.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,distribution_shift,0.40659241759478004,0.005613285280990575,0.5049441452061497,0.002463046347268287,0.3453116111101412,0.0032429110585587193,0.3781969517489279,0.0016790586459869302,0.37765462461992116,0.002129081026372727,0.08979591836734693,0.04489795918367347,0.010191082802547772,0.005095541401273886,0.40819017827356124,0.01684567302303655,0.424490685705844,0.007987223146748651,0.27449247163383717,0.025351909944065082,11.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,distribution_shift,0.41909101136235805,0.02080629785681721,0.5463779519513137,0.020166719867818872,0.3715097038523401,0.02097444273321998,0.3917771031305073,0.017131544440335565,0.39132647754869154,0.016701965058479804,0.3650510204081633,0.26992568624214786,0.0005791505791505791,0.0011583011583011582,0.4127286842910999,0.04621772221350729,0.4312632083490181,0.03672546639908662,0.30954122749171153,0.033825793664588044,11.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,distribution_shift,0.43219709753628077,0.0002723302607022185,0.5586753275803107,0.0005767311193745345,0.38728089593415777,0.0004474280816847604,0.39806391456880896,0.00025375449353710807,0.39957300771283427,0.0005543348378461484,0.5997448979591837,0.24949240431005743,0.0,0.0,0.4491477538068286,0.0006785910062839493,0.4444454499124088,0.001040732921375091,0.27364342332140923,0.0014373688514230374,11.0,0.0,0.0,0.0
