dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,corrupted_graph,0.8464902506963788,0.0017888127418386785,0.8738243495043744,0.00034906587899678407,0.8372435487142017,0.0005067335881983623,0.7921460196036356,0.0014558067928714569,0.8050812020563459,0.0017685026488848635,0.9858407079646018,0.0011799410029498247,0.0,0.0,0.9348121677798499,0.0005406866720734982,0.8207367879865728,0.005306889517839454,0.659694650402615,0.0003933136676499416,9.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,corrupted_graph,0.8379387186629528,0.043613965402550456,0.8808108855606847,0.0315215485757408,0.8298132822582559,0.04855405009809659,0.7555892277373629,0.07208955142312011,0.7738652579276071,0.06814820571756679,0.5793510324483776,0.47304672149851645,0.0,0.0,0.9136463075311729,0.04200744500531539,0.8817243473274144,0.05567704064474458,0.526225118924234,0.15749935370812368,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,corrupted_graph,0.8670473537604456,0.0010773860504631485,0.915033724249455,0.002026179359738971,0.8826602853556829,0.0022469823116612413,0.809706014055342,0.0007358883866815273,0.8217064674813619,0.0009085941850063851,0.9911504424778761,0.0018656505369725213,0.0,0.0,0.9683812179428489,0.0019371802095947532,0.8339222712428456,0.0018770766207432945,0.6628159132583912,0.0009006137405476356,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,corrupted_graph,0.7527038877521192,0.0025948367168865216,0.6466020957874209,0.00240891787116335,0.645878394007277,0.003942814001100915,0.6922264460632295,0.002586422307844343,0.7016124258442483,0.0019703118098949074,0.9020576131687242,0.007543334477293529,0.0721311475409836,0.009558937532533276,0.7961573071676699,0.005357426207017353,0.7500795748470894,0.0021057890074935273,0.4870943803548539,0.006670059624889105,8.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,corrupted_graph,0.31581408944753,0.05354457204273696,0.26737961735773774,0.12463865389864909,0.08017868790527458,0.06688906713956451,0.23032576271775654,0.07829201331956746,0.26442635106117873,0.06768680541012373,0.12592592592592594,0.2518518518518518,0.0,0.0,0.3519751866254457,0.025404225042974005,0.2945197742290554,0.1306678313490997,0.08796296296296297,0.13281084206969251,4.4,1.0198039027185568,1.0,0.0
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,corrupted_graph,0.7269219526454253,0.038219592405472604,0.6697615744828033,0.03424998438170366,0.5504860477017024,0.08483268004987961,0.6531372608307058,0.03267085043653262,0.6537909157162478,0.037658156244608734,0.8847736625514404,0.057318470276477865,0.012295081967213115,0.0,0.80377025092051,0.0509999542720249,0.6406492761499328,0.03339405337582739,0.44853437225932674,0.028659235138238932,8.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,corrupted_graph,0.4606142423219709,0.0003528942995018113,0.5457835802637565,0.00012952475866570212,0.3816700054479064,0.00018496312841905532,0.4250381352765902,0.00028530281162683256,0.4288695949877056,0.00031783804893336244,0.11505102040816326,0.0005102040816326536,0.005095541401273885,0.0,0.44804576311509414,0.0007328414569911984,0.531636851501196,0.0006077516790771331,0.2662783621332004,0.0003382059002667859,11.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,corrupted_graph,0.4868039149510631,0.01135882652527712,0.5746678569590487,0.006720313383174341,0.41471729637590576,0.004652150421235684,0.44505214880512123,0.007212547692174372,0.44845648120429227,0.008391400856626319,0.11045918367346938,0.0006248698323426482,0.0007643312101910828,0.0006240738198173702,0.4828034761614955,0.01731978012368254,0.5554328536752948,0.014994359881489326,0.2600253246333513,0.010582803084261337,11.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,corrupted_graph,0.47538530768365395,0.000970100624921144,0.5719501348127648,0.0013389704821463902,0.40556975415476026,0.0006541625488869463,0.4364407120828089,0.0009042436677857353,0.4431326241947741,0.0014538181370513683,0.47397959183673466,0.2937958272847759,0.0007643312101910828,0.001019108280254777,0.45714117642692403,0.0018164620082434066,0.5608833979346153,0.005156640733950758,0.2674535228987861,0.0018985944816586181,11.0,0.0,0.0,0.0
