dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,reduced_sample,0.8130919220055711,0.04918055869080502,0.8563842327568658,0.027530292530870453,0.8020600142331595,0.04395342517483623,0.7517633441249186,0.058256742191064526,0.771238109335352,0.05093437278651504,0.7867403314917129,0.24543324446471623,0.0,0.0,0.881087061087061,0.06828182873238832,0.8370471564217571,0.0057317971168018515,0.5955801104972376,0.08181108148823872,9.0,0.0,0.0,0.0
pathmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,reduced_sample,0.8574373259052924,0.04775429492835111,0.8869110791441482,0.03033485986969267,0.8397806353645537,0.05283454915168531,0.7856401211071556,0.06759915235120845,0.8066281714342409,0.06399616315208408,0.7690607734806629,0.3845621375092583,0.0,0.0,0.9193506493506494,0.04567052733268631,0.910846940458519,0.040811668786304316,0.5896869244935543,0.12818737916975279,9.0,0.0,0.0,0.0
pathmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,reduced_sample,0.869192200557103,0.0029086969319680428,0.8993779679116048,0.000556647059229211,0.8625312573587361,0.0016603314096930019,0.810350459775439,0.0019708457396582883,0.825094380495728,0.0032278307118793438,0.9646408839779006,0.002706618500312897,0.0,0.0,0.9544973544973546,0.0035490535010829142,0.8659054923305295,0.011687898637468795,0.6548802946593002,0.0009022061667709658,9.0,0.0,0.0,0.0
bloodmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,reduced_sample,0.7520467836257311,0.004604682967258367,0.6452330665494628,0.002671131950360301,0.645680562321024,0.005091016929435434,0.6769073838437853,0.0024097173133839885,0.6937553753217135,0.0038700889676904775,0.018333333333333333,0.003333333333333334,0.018333333333333333,0.003333333333333334,0.7969420693695662,0.006930321481502123,0.7684665300546448,0.003569133687294138,0.42690860215053766,0.003983939894633943,8.0,0.0,0.0,0.0
bloodmnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,reduced_sample,0.5061988304093568,0.12081061775495444,0.5355277218505459,0.09392161052373292,0.3168188944389887,0.137041102581876,0.3947633719926823,0.10707208064386778,0.43609928712795937,0.10574930298707975,0.045,0.045215533220835116,0.006866902237926973,0.00841616036134439,0.5380768580419125,0.15702105690650783,0.42598360655737705,0.09734410818441168,0.2983064516129032,0.23340092425716222,6.8,0.9797958971132712,0.8,0.4
bloodmnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,reduced_sample,0.7900584795321638,0.005669801002826112,0.7233162629304647,0.006945511394585851,0.6923730806448195,0.009671144859962719,0.7017649743264812,0.007416579096386381,0.7150813025340296,0.007559547082460894,0.016666666666666666,0.0,0.016666666666666666,0.0,0.8680042244964096,0.0034516013777100957,0.7145064890710383,0.017569260064900442,0.4865591397849463,0.0032258064516129,8.0,0.0,0.0,0.0
organamnist,KMeans (same features),dinov2_vitb14+biomedclip,,,reduced_sample,0.45510181122735965,0.0006846720240613255,0.5405986401459759,0.00041198425516916233,0.37209350089420523,0.0004822982141833392,0.4203109737805596,0.0004561322328839144,0.4240542497311216,0.0005305959216561299,0.10761154855643044,0.0,0.009876543209876543,0.0,0.44089454841471054,0.0009830155186631563,0.5289575508048138,0.0008733238345880236,0.26172945005474657,0.0006890611541774394,11.0,0.0,0.0,0.0
organamnist,BCPT-PartialOT (without safeguards),dinov2_vitb14+biomedclip,,,reduced_sample,0.4957363032962088,0.0053842536846601735,0.5978180375796832,0.0042364789936909725,0.41921713992389453,0.003870977362683983,0.4537216414327176,0.00715155797653912,0.45486500563695537,0.005552240091539067,0.2251968503937008,0.26666666666666666,0.01837270341207349,0.03674540682414698,0.4971890072805615,0.01007339158356208,0.5398453259843977,0.009619136431642595,0.2851259096488908,0.011549536515926457,11.0,0.0,0.0,0.0
organamnist,BCPT-Med (proposed safeguarded partial OT),dinov2_vitb14+biomedclip,,,reduced_sample,0.480211497356283,0.0025381836890939285,0.5837099992633497,0.0033554816229186936,0.4078516760989853,0.002235708333533876,0.4410927533922438,0.003970718654941274,0.4443308444702333,0.0037931001018216555,0.7375328083989501,0.013279906184434156,0.0,0.0,0.47480015906595485,0.0028928429293889222,0.5412794327036765,0.010377636856185968,0.27444030736468017,0.004371607151138458,11.0,0.0,0.0,0.0
